EventNumber,TriggerBits,Timestamp
109872,1000111,1989-09-29 13:58:42
109873,11101000,1989-09-29 13:58:43
109874,11101000,1989-09-29 13:58:43
109875,11101000,1989-09-29 13:58:44
109876,11101000,1989-09-29 13:58:44
109877,1000111,1989-09-29 13:58:45
109878,1000111,1989-09-29 13:58:45
109879,11101000,1989-09-29 13:58:46
109880,1000111,1989-09-29 13:58:46
109881,11101000,1989-09-29 13:58:47
109882,1000111,1989-09-29 13:58:48
109883,1000111,1989-09-29 13:58:48
109884,11101000,1989-09-29 13:58:48
109885,1000111,1989-09-29 13:58:48
109886,1000111,1989-09-29 13:58:49
109887,1000111,1989-09-29 13:58:50
109888,1000111,1989-09-29 13:58:52
109889,11101000,1989-09-29 13:58:53
109890,11101000,1989-09-29 13:58:56
109891,11101000,1989-09-29 13:58:57
109892,11101000,1989-09-29 13:58:58
109893,1000111,1989-09-29 13:58:59
109894,11101000,1989-09-29 13:58:59
109895,1000111,1989-09-29 13:59:00
109896,11101000,1989-09-29 13:59:00
109897,1000111,1989-09-29 13:59:00
109898,11101000,1989-09-29 13:59:00
109899,1000111,1989-09-29 13:59:01
109900,11101000,1989-09-29 13:59:03
109901,1000111,1989-09-29 13:59:03
109902,1000111,1989-09-29 13:59:04
109903,1000111,1989-09-29 13:59:04
109904,1000111,1989-09-29 13:59:05
109905,11101000,1989-09-29 13:59:06
109906,11101000,1989-09-29 13:59:06
109907,1000111,1989-09-29 13:59:08
109908,1000111,1989-09-29 13:59:08
109909,11101000,1989-09-29 13:59:10
109910,1000111,1989-09-29 13:59:10
109911,1000111,1989-09-29 13:59:11
109912,11101000,1989-09-29 13:59:11
109913,11101000,1989-09-29 13:59:13
109914,11101000,1989-09-29 13:59:13
109915,1000111,1989-09-29 13:59:13
109916,1000111,1989-09-29 13:59:14
109917,11101000,1989-09-29 13:59:16
109918,11101000,1989-09-29 13:59:16
109919,1000111,1989-09-29 13:59:18
109920,11101000,1989-09-29 13:59:19
109921,1000111,1989-09-29 13:59:19
109922,11101000,1989-09-29 13:59:21
109923,1000111,1989-09-29 13:59:22
109924,1000111,1989-09-29 13:59:22
109925,1000111,1989-09-29 13:59:23
109926,1000111,1989-09-29 13:59:24
109927,1000111,1989-09-29 13:59:24
109928,1000111,1989-09-29 13:59:25
109929,11101000,1989-09-29 13:59:25
109930,1000111,1989-09-29 13:59:26
109931,11101000,1989-09-29 13:59:27
109932,1000111,1989-09-29 13:59:27
109933,11101000,1989-09-29 13:59:28
109934,1000111,1989-09-29 13:59:28
109935,1000111,1989-09-29 13:59:29
109936,11101000,1989-09-29 13:59:29
109937,11101000,1989-09-29 13:59:30
109938,11101000,1989-09-29 13:59:30
109939,1000111,1989-09-29 13:59:31
109940,11101000,1989-09-29 13:59:31
109941,11101000,1989-09-29 13:59:32
109942,11101000,1989-09-29 13:59:32
109943,1000111,1989-09-29 13:59:32
109944,1000111,1989-09-29 13:59:32
109945,11101000,1989-09-29 13:59:33
109946,11101000,1989-09-29 13:59:34
109947,1000111,1989-09-29 13:59:34
109948,11101000,1989-09-29 13:59:35
109949,1000111,1989-09-29 13:59:35
109950,1000111,1989-09-29 13:59:35
109951,1000111,1989-09-29 13:59:36
109952,1000111,1989-09-29 13:59:36
